# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
    1585 5.936e-05 6.274e-05 6.100e-05 7.374e-07
    1995 7.736e-05 8.125e-05 7.934e-05 9.056e-07
    2512 1.007e-04 1.057e-04 1.033e-04 1.138e-06
    3162 1.312e-04 1.369e-04 1.340e-04 1.319e-06
    3981 1.704e-04 1.776e-04 1.741e-04 1.708e-06
    5012 2.211e-04 2.310e-04 2.259e-04 2.216e-06
    6310 2.871e-04 2.985e-04 2.929e-04 2.572e-06
    7943 3.719e-04 3.871e-04 3.792e-04 3.311e-06
   10000 4.818e-04 4.996e-04 4.909e-04 4.270e-06
   12589 6.243e-04 6.459e-04 6.352e-04 5.068e-06
   15849 8.056e-04 8.332e-04 8.201e-04 6.657e-06
   19953 1.042e-03 1.076e-03 1.060e-03 8.339e-06
   25119 1.345e-03 1.407e-03 1.369e-03 1.141e-05
   31623 1.735e-03 1.825e-03 1.769e-03 1.811e-05
   39811 2.240e-03 2.327e-03 2.278e-03 1.980e-05
   50119 2.886e-03 3.001e-03 2.937e-03 2.422e-05
   63096 3.723e-03 3.862e-03 3.786e-03 3.007e-05
   79433 4.789e-03 4.971e-03 4.875e-03 3.838e-05
  100000 6.173e-03 6.377e-03 6.267e-03 4.762e-05
  125893 7.950e-03 8.490e-03 8.128e-03 1.221e-04
  158489 1.021e-02 1.056e-02 1.037e-02 7.965e-05
  199526 1.313e-02 1.349e-02 1.331e-02 8.701e-05
  251189 1.689e-02 1.731e-02 1.711e-02 1.024e-04
  316228 2.167e-02 2.222e-02 2.196e-02 1.343e-04
  398107 2.780e-02 2.857e-02 2.818e-02 1.736e-04
  501187 3.566e-02 3.660e-02 3.616e-02 2.152e-04
  630957 4.577e-02 4.696e-02 4.639e-02 2.785e-04
  794328 5.871e-02 6.015e-02 5.947e-02 3.280e-04
 1000000 7.528e-02 7.705e-02 7.624e-02 4.097e-04
#------- --------- --------- --------- ---------


# merge_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.930e-07 5.300e-07 5.099e-07 8.525e-09
      13 5.230e-07 5.670e-07 5.430e-07 1.014e-08
      16 5.560e-07 6.020e-07 5.771e-07 1.107e-08
      20 6.020e-07 6.660e-07 6.262e-07 1.416e-08
      25 6.630e-07 7.340e-07 6.915e-07 1.642e-08
      32 7.560e-07 8.450e-07 7.951e-07 2.104e-08
      40 9.590e-07 1.063e-06 1.006e-06 2.392e-08
      50 1.125e-06 1.245e-06 1.181e-06 2.835e-08
      63 1.359e-06 1.505e-06 1.425e-06 3.493e-08
